2	16	480	3	30
0	9.772	6.106	0	0	0	1400
1	6.255	5.056	3	1	409	464
2	-6.417	-4.632	3	1	230	276
3	-5.373	9.155	3	1	448	493
4	-2.404	-5.348	3	1	294	332
5	4.264	1.839	3	1	31	74
6	5.722	2.995	3	1	258	299
7	5.38	1.135	3	1	143	190
8	-1.233	9.045	3	1	129	175
9	-4.503	-2.194	3	1	380	406
10	7.872	9.906	3	1	307	328
11	6.513	8.187	3	1	85	130
12	-7.393	-5.435	3	1	371	403
13	-5.901	-4.784	3	1	112	148
14	6.748	-7.784	3	1	407	430
15	-1.022	-7.704	3	1	79	123
16	-9.726	-3.456	3	1	421	455
17	-4.146	-1.346	3	-1	436	477
18	-2.976	-8.38	3	-1	257	282
19	2.756	4.345	3	-1	475	503
20	-5.658	7.88	3	-1	321	346
21	-4.241	7.758	3	-1	58	85
22	-4.327	8.959	3	-1	285	311
23	-0.029	-6.936	3	-1	170	200
24	7.072	1.12	3	-1	156	187
25	-3.706	-4.155	3	-1	382	433
26	-7.02	-4.039	3	-1	327	355
27	4.765	6.778	3	-1	87	157
28	-6.603	4.418	3	-1	380	430
29	-1.081	-7.924	3	-1	117	175
30	-9.898	-1.91	3	-1	424	457
31	-9.302	1.853	3	-1	91	150
32	-8.096	-7.818	3	-1	425	482
33	9.772	6.106	0	0	0	1400
